,start,stop,strand,gene_name,length,operon
b3645,3817760,3818584,+,dinD,824,dinD
b3646,3818874,3819491,+,yicG,617,yicG
b3647,3819488,3821170,-,ligB,1682,ligB
b3648,3821428,3822051,+,gmk,623,gmk
b3649,3822106,3822381,+,rpoZ,275,rpoZ-spoT-trmH-recG
b3650,3822400,3824508,+,spoT,2108,rpoZ-spoT-trmH-recG
b3651,3824515,3825204,+,trmH,689,rpoZ-spoT-trmH-recG
b3652,3825210,3827291,+,recG,2081,recG 
b3653,3827460,3828665,-,gltS,1205,gltS
b3654,3828945,3830336,+,xanP,1391,xanP
b3655,3830457,3832166,+,yicH,1709,yicH
b3656,3832219,3834537,-,yicI,2318,yicJI
b3657,3834547,3835929,-,yicJ,1382,yicJI
b3658,3836222,3836316,+,selC,94,selC
b3659,3836953,3838137,+,setC,1184,setC
b3660,3838248,3839171,+,yicL,923,yicL
b3661,3839175,3839993,-,nlpA,818,nlpA
b3662,3840549,3841739,-,nepI,1190,nepI
b3663,3841950,3842402,-,yicN,452,yicN
b3664,3842455,3843789,-,adeQ,1334,adeQ
b3665,3843964,3845730,+,adeD,1766,ade
b3666,3845776,3847167,-,uhpT,1391,uhpT
b3667,3847305,3848624,-,uhpC,1319,ivbL-ilvBN-uhpABC 
b3668,3848634,3850136,-,uhpB,1502,uhpB 
b3669,3850136,3850726,-,uhpA,590,ivbL-ilvBN-uhpABC 
b3670,3850802,3851092,-,ilvN,290,ivbL-ilvBN-uhpABC 
b3671,3851096,3852784,-,ilvB,1688,ivbL-ilvBN-uhpABC 
b3672,3852890,3852988,-,ivbL,98,ivbL 
b3673,3853922,3855106,+,emrD,1184,emrD
b3674,3855114,3855611,-,yidF,497,yidHGF
b3675,3855608,3855970,-,yidG,362,yidHGF
b3676,3855960,3856307,-,yidH,347,yidHGF
b3677,3856415,3856864,+,yidI,449,yidI
b3678,3856911,3858404,-,yidJ,1493,yidKJ
b3679,3858401,3860116,-,yidK,1715,yidKJ
b3680,3860283,3861176,+,yidL,893,yidL
b3682,3861987,3862472,-,glvB,485,glvCBG-ysdC
b3683,3862497,3863603,-,glvC,1106,glvCBG-ysdC
b3684,3863899,3864615,+,yidP,716,yidP
b3685,3864612,3866273,-,yidE,1661,yidE
b3686,3866469,3866897,-,ibpB,428,ibpB 
b3687,3867009,3867422,-,ibpA,413,ibpAB
b3688,3867728,3868060,+,yidQ,332,yidQ
b3689,3868062,3869309,-,yidR,1247,yidR
b3690,3869377,3870441,+,cbrA,1064,cbrA 
b3691,3870438,3871730,-,dgoT,1292,dgoRKADT
b3693,3873596,3874474,-,dgoK,878,dgoRKADT
b3696,3875438,3876094,+,yidX,656,yidX
b3697,3876140,3876952,-,yidA,812,yidA
b3698,3877067,3877465,-,yidB,398,yidB
b3699,3877705,3880119,-,gyrB,2414,gyrB 
b3700,3880148,3881221,-,recF,1073,dnaN-recF 
b3701,3881221,3882321,-,dnaN,1100,dnaN-recF 
b3702,3882326,3883729,-,dnaA,1403,dnaAN-recF 
b3703,3884336,3884476,+,rpmH,140,rpmH-rnpA 
b3704,3884493,3884852,+,rnpA,359,rpmH-rnpA 
b3705,3885076,3886722,+,yidC,1646,
b3706,3886828,3888192,+,mnmE,1364,mnmE
b3707,3888435,3888509,+,tnaC,74,tnaC 
b3708,3888730,3890145,+,tnaA,1415,tnaAB 
b3709,3890236,3891483,+,tnaB,1247,tnaAB 
b3710,3891615,3892790,+,mdtL,1175,mdtL
b3711,3892765,3893724,+,yidZ,959,yidZ
b3712,3893881,3894630,+,yieE,749,yieEF
b3713,3894652,3895218,+,yieF,566,yieEF
b3714,3895272,3896609,-,adeP,1337,yieG
b3715,3896774,3897439,+,yieH,665,yieH
b3716,3897506,3897973,+,cbrB,467,cbrBC 
b3717,3898022,3898609,+,cbrC,587,cbrBC 
b3718,3898671,3899393,-,yieK,722,bglH-yieLK
b3719,3899408,3900577,-,yieL,1169,bglH-yieLK
b3720,3900604,3902220,-,bglH,1616,bglH-yieLK
b3721,3902289,3903701,-,bglB,1412,bglGFB
b3722,3903720,3905597,-,bglF,1877,bglGFB
b3723,3905731,3906567,-,bglG,836,bglG 
b3724,3906853,3907578,-,phoU,725,pstB-phoU 
b3725,3907593,3908366,-,pstB,773,pstB-phoU 
b3726,3908549,3909439,-,pstA,890,pstSCAB-phoU 
b3727,3909439,3910398,-,pstC,959,pstSCAB-phoU 
b3728,3910485,3911525,-,pstS,1040,pstSCAB-phoU 
b3729,3911839,3913668,-,glmS,1829,glmUS 
b3730,3913830,3915200,-,glmU,1370,glmUS 
b3731,3915553,3915972,-,atpC,419,atpBEFHAGDC 
b3732,3915993,3917375,-,atpD,1382,atpBEFHAGDC 
b3733,3917402,3918265,-,atpG,863,atpBEFHAGDC 
b3734,3918316,3919857,-,atpA,1541,atpBEFHAGDC 
b3735,3919870,3920403,-,atpH,533,atpBEFHAGDC 
b3736,3920418,3920888,-,atpF,470,atpBEFHAGDC 
b3737,3920950,3921189,-,atpE,239,atpBEFHAGDC 
b3738,3921236,3922051,-,atpB,815,atpBEFHAGDC 
b3739,3922060,3922440,-,atpI,380,atpIBEFHAGDC
b3740,3923057,3923680,-,rsmG,623,mnmG-rsmG 
b3741,3923744,3925633,-,mnmG,1889,mnmG-rsmG 
b3742,3926012,3926455,-,mioC,443,asnC-mioC-mnmG 
b3743,3926545,3927003,-,asnC,458,asnC-mioC-mnmG 
b3744,3927155,3928147,+,asnA,992,asnA
b3745,3928152,3929603,-,viaA,1451,ravA-viaA
b3746,3929597,3931093,-,ravA,1496,ravA-viaA
b3747,3931316,3933184,+,kup,1868,kup 
b3748,3933351,3933770,+,rbsD,419,rbsDACBKR
b3749,3933778,3935283,+,rbsA,1505,rbsDACBKR
b3750,3935288,3936253,+,rbsC,965,rbsDACBKR
b3751,3936278,3937168,+,rbsB,890,rbsDACBKR
b3752,3937294,3938223,+,rbsK,929,rbsDACBKR
b3753,3938227,3939219,+,rbsR,992,rbsDACBKR
b3754,3939185,3940612,-,hsrA,1427,yieP-hsrA
b3755,3940635,3941327,-,yieP,692,yieP-hsrA
b3756,3941808,3943349,+,rrsC,1541,rrsC-gltU-rrlC-rrfC 
b3757,3943435,3943510,+,gltU,75,rrsC-gltU-rrlC-rrfC 
b3758,3943704,3946607,+,rrlC,2903,rrsC-gltU-rrlC-rrfC 
b3759,3946700,3946819,+,rrfC,119,rrsC-gltU-rrlC-rrfC 
b3760,3946872,3946948,+,aspT,76,aspT
b3761,3946957,3947032,+,trpT,75,trpt
b3764,3948086,3948424,+,maoP,338,yifE
b3765,3948449,3949969,-,yifB,1520,yifB
b3766,3950322,3950420,+,ilvL,98,ilvL 
b3769,3952201,3952464,+,ilvM,263,ilvLXG_1G_2MEDA 
b3770,3952484,3953413,+,ilvE,929,ilvEDA 
b3771,3953478,3955328,+,ilvD,1850,ilvEDA 
b3772,3955331,3956875,+,ilvA,1544,ilvA 
b3773,3956927,3957820,-,ilvY,893,ilvY 
b3774,3957970,3959445,+,ilvC,1475,ilvC
b3775,3959532,3959813,-,ppiC,281,ppiC
b3777,3960012,3960460,-,yifN,448,yifN
b3778,3960677,3962698,+,rep,2021,rep
b3779,3962745,3964229,-,gpp,1484,gpp
b3780,3964365,3965630,-,rhlB,1265,rhlB
b3781,3965761,3966090,+,trxA,329,trxA 
b3782,3966231,3966332,+,rhoL,101,rhoL 
b3783,3966417,3967676,+,rho,1259,rhoL-rho
b3784,3967916,3969019,+,rfe,1103,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM
b3785,3969031,3970077,+,wzzE,1046,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM
b3786,3970133,3971263,+,wecB,1130,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM
b3787,3971260,3972522,+,wecC,1262,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM
b3788,3972522,3973589,+,rffG,1067,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM
b3789,3973608,3974489,+,rffH,881,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM
b3790,3974467,3975141,+,rffC,674,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM
b3791,3975146,3976276,+,wecE,1130,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM
b3792,3976278,3977528,+,wzxE,1250,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM
b3793,3978601,3979953,+,wzyE,1352,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM
b3794,3979956,3980696,+,rffM,740,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM
b3795,3980887,3982272,+,yifK,1385,yifK
b3796,3982375,3982451,+,argX,76,argX-hisR-leuT-proM
b3797,3982509,3982585,+,hisR,76,argX-hisR-leuT-proM
b3798,3982606,3982692,+,leuT,86,argX-hisR-leuT-proM
b3799,3982735,3982811,+,proM,76,argX-hisR-leuT-proM
b3800,3982958,3984193,+,aslB,1235,aslB
b3801,3984352,3986007,-,aslA,1655,aslA
b3802,3986686,3987882,-,hemY,1196,hemCDXY
b3803,3987885,3989066,-,hemX,1181,hemCDXY
b3804,3989088,3989828,-,hemD,740,hemCDXY
b3805,3989825,3990766,-,hemC,941,hemCDXY
b3806,3991153,3993699,+,cyaA,2546,cyaA 
b3807,3993739,3994059,-,cyaY,320,cyaY
b3808,3993850,3994335,+,yzcX,485,yzcX
b3809,3994762,3995586,+,dapF,824,yifL-dapF-yigA-xerC-yigB
b3810,3995583,3996290,+,yigA,707,yifL-dapF-yigA-xerC-yigB
b3811,3996287,3997183,+,xerC,896,yifL-dapF-yigA-xerC-yigB
b3812,3997183,3997899,+,yigB,716,yifL-dapF-yigA-xerC-yigB
b3813,3997983,4000145,+,uvrD,2162,uvrD 
b3816,4001426,4002376,+,corA,950,corA
b3817,4002419,4002799,-,yigF,380,yigGF
b3818,4002813,4003193,-,yigG,380,yigGF
b3819,4003288,4004178,-,rarD,890,rarD
b3820,4004230,4004697,-,yigI,467,yigI
b3821,4004862,4005731,+,pldA,869,pldA
b3822,4005864,4007693,+,recQ,1829,recQ
b3823,4007757,4008377,+,rhtC,620,rhtC
b3824,4008439,4009059,-,rhtB,620,rhtB
b3825,4009170,4010192,+,pldB,1022,pldB-yigL
b3826,4010200,4011000,+,yigL,800,pldB-yigL
b3827,4011076,4011975,+,bioP,899,bioP
b3828,4011863,4012816,-,metR,953,metR 
b3829,4013053,4015314,+,metE,2261,metE
b3830,4015354,4016169,-,ysgA,815,ysgA
b3831,4016431,4017192,+,udp,761,udp
b3832,4017333,4018760,+,rmuC,1427,rmuC
b3833,4018855,4019610,+,ubiE,755,ubiEJB
b3834,4019624,4020229,+,ubiJ,605,ubiEJB
b3835,4020226,4021866,+,ubiB,1640,ubiEJB
b3836,4021945,4022214,+,tatA,269,tatABC 
b3838,4022218,4022733,+,tatB,515,tatABC 
b3839,4022736,4023512,+,tatC,776,tatABC 
b3842,4024333,4024821,-,rfaH,488,rfaH
b3843,4024988,4026481,+,ubiD,1493,ubiD
b3844,4026527,4027228,+,fre,701,fre 
b3845,4027609,4028772,-,fadA,1163,fadBA
b3846,4028782,4030971,-,fadB,2189,fadBA
b3847,4031161,4032492,+,pepQ,1331,pepQ-yigZ-trkH-hemG
b3848,4032492,4033106,+,yigZ,614,pepQ-yigZ-trkH-hemG
b3849,4033145,4034596,+,trkH,1451,pepQ-yigZ-trkH-hemG
b3850,4034608,4035153,+,hemG,545,pepQ-yigZ-trkH-hemG
b3851,4035531,4037072,+,rrsA,1541,rrsA-ileT-alaT-rrlA-rrfA 
b3852,4037141,4037217,+,ileT,76,rrsA-ileT-alaT-rrlA-rrfA 
b3853,4037260,4037335,+,alaT,75,rrsA-ileT-alaT-rrlA-rrfA 
b3854,4037519,4040423,+,rrlA,2904,rrsA-ileT-alaT-rrlA-rrfA 
b3855,4040517,4040636,+,rrfA,119,rrsA-ileT-alaT-rrlA-rrfA 
b3856,4040906,4041433,-,mobB,527,mobAB 
b3857,4041415,4041999,-,mobA,584,mobAB 
b3858,4042069,4042338,+,yihD,269,yihD
b3859,4042415,4043401,+,srkA,986,srkA-dsbA
b3860,4043418,4044044,+,dsbA,626,dsbA 
b3861,4044199,4045629,+,yihF,1430,yihF
b3862,4045670,4046602,-,yihG,932,yihG
b3863,4046966,4049752,+,polA,2786,polA
b3864,4049899,4050009,+,spf,110,spf
b3865,4050133,4050765,-,yihA,632,yihA
b3866,4051347,4051856,+,yihI,509,yihI
b3867,4052045,4053418,+,hemN,1373,hemN
b3868,4053869,4055278,-,glnG,1409,glnALG 
b3869,4055290,4056339,-,glnL,1049,glnALG 
b3870,4056625,4058034,-,glnA,1409,glnA 
b3871,4058407,4060230,+,bipA,1823,bipA
b3872,4060447,4061157,+,yihL,710,yihLM
b3873,4061165,4062145,+,yihM,980,yihLM
b3874,4062247,4063512,+,yihN,1265,yihN
b3875,4063603,4064295,-,ompL,692,ompL
b3876,4064363,4065766,-,yihO,1403,yihPO
b3877,4065809,4067194,-,yihP,1385,yihPO
b3878,4067240,4069276,-,yihQ,2036,yihQ
b3879,4069475,4070401,-,yihR,926,yihR
b3880,4070515,4071756,-,yihS,1241,yihUTS 
b3881,4071773,4072651,-,yihT,878,yihUTS 
b3882,4072675,4073571,-,yihU,896,yihUTS 
b3883,4073739,4074635,+,yihV,896,yihV-csqR
b3884,4074669,4075454,+,csqR,785,yihW 
b3885,4075553,4076152,+,yihX,599,yihXY-dtd-fabY
b3886,4076146,4077018,+,yihY,872,yihXY-dtd-fabY
b3887,4077015,4077452,+,dtd,437,yihXY-dtd-fabY
b3888,4077449,4078438,+,fabY,989,yihXY-dtd-fabY
b3889,4079291,4079509,+,yiiE,218,yiiE
b3890,4079751,4079969,+,yiiF,218,yiiF
b3891,4080299,4081228,-,fdhE,929,fdoGHI-fdhE
b3892,4081225,4081860,-,fdoI,635,fdoGHI-fdhE
b3893,4081857,4082759,-,fdoH,902,fdoGHI-fdhE
b3894,4082772,4085822,-,fdoG,3050,fdoGHI-fdhE
b3895,4086016,4086849,+,fdhD,833,fdhD
b3896,4087002,4088057,+,yiiG,1055,yiiG
b3897,4088107,4089855,-,frvR,1748,frvABXR
b3898,4089855,4090925,-,frvX,1070,frvABXR
b3899,4090915,4092366,-,frvB,1451,frvABXR
b3900,4092377,4092823,-,frvA,446,frvABXR
b3901,4093124,4093438,-,rhaM,314,rhaM
b3902,4093448,4094272,-,rhaD,824,rhaD 
b3903,4094723,4095982,-,rhaA,1259,rhaBAD
b3904,4095979,4097448,-,rhaB,1469,rhaBAD
b3905,4097736,4098572,+,rhaS,836,rhaSR 
b3906,4098646,4099494,+,rhaR,848,rhaSR 
b3907,4099491,4100525,-,rhaT,1034,rhaT
b3908,4100810,4101430,+,sodA,620,sodA
b3909,4101690,4102673,+,kdgT,983,kdgT
b3910,4102822,4103496,+,yiiM,674,yiiM
b3911,4103602,4104975,-,cpxA,1373,cpxRA 
b3912,4104972,4105670,-,cpxR,698,cpxRA 
b3915,4106469,4107371,+,fieF,902,fieF
b3916,4107552,4108514,+,pfkA,962,pfkA 
b3917,4108834,4109823,+,sbp,989,sbp
b3918,4109930,4110685,+,cdh,755,cdh
b3919,4110740,4111507,-,tpiA,767,tpiA 
b3920,4111615,4112214,-,yiiQ,599,yiiQ
b3921,4112315,4112755,+,yiiR,440,yiiR
b3922,4112967,4113266,+,yiiS,299,yiiS-uspD
b3923,4113293,4113721,+,uspD,428,yiiS-uspD
b3924,4113726,4114472,-,fpr,746,fpr
b3925,4114569,4115579,-,glpX,1010,glpFKX
b3926,4115714,4117222,-,glpK,1508,glpFKX
b3927,4117245,4118090,-,glpF,845,glpFKX
b3928,4118515,4118760,+,zapB,245,yiiU
b3929,4118845,4119330,-,rraA,485,menA-rraA 
b3930,4119423,4120349,-,menA,926,menA-rraA 
b3931,4120416,4121747,-,hslU,1331,hslVU
b3932,4121757,4122287,-,hslV,530,hslVU
b3933,4122380,4123339,-,ftsN,959,
b3934,4123431,4124456,-,cytR,1025,cytR
b3935,4124612,4126810,-,priA,2198,priA
b3936,4127013,4127225,+,rpmE,212,rpmE 
b3937,4127286,4127894,-,yiiX,608,yiiX
b3938,4128078,4128395,-,metJ,317,metJ 
b3939,4128672,4129832,+,metB,1160,metBL
b3940,4129835,4132267,+,metL,2432,metBL
b3941,4132616,4133506,+,metF,890,metF
b3942,4133835,4136015,+,katG,2180,katG
b3943,4136108,4137013,+,yijE,905,yijE
b3944,4137040,4137657,-,yijF,617,yijF
b3945,4137932,4139035,-,gldA,1103,ptsA-fsaB-gldA
b3946,4139046,4139708,-,fsaB,662,ptsA-fsaB-gldA
b3947,4139720,4142221,-,ptsA,2501,ptsA-fsaB-gldA
b3949,4142530,4143609,+,frwC,1079,frwCB
b3950,4143624,4143944,+,frwB,320,frwCB
b3951,4143995,4146292,+,pflD,2297,pflDC
b3952,4146258,4147136,+,pflC,878,pflDC
b3953,4147138,4147479,+,frwD,341,frwD
b3954,4147466,4148317,-,yijO,851,yijO
b3955,4148532,4150265,-,eptC,1733,eptC
b3956,4150447,4153098,-,ppc,2651,ppc
b3957,4153696,4154847,-,argE,1151,argE 
b3958,4155001,4156005,+,argC,1004,argCBH
b3959,4156013,4156789,+,argB,776,argCBH
b3960,4156850,4158223,+,argH,1373,argH 
b3961,4158490,4159407,+,oxyR,917,oxyR 
b3962,4159390,4160790,-,sthA,1400,sthA
b3963,4161067,4161771,+,fabR,704,fabR-yijD
b3964,4161771,4162130,+,yijD,359,fabR-yijD
b3965,4162170,4163270,-,trmA,1100,trmA
b3966,4163639,4165483,+,btuB,1844,btuB-murI
b3967,4165428,4166285,+,murI,857,btuB-murI
b3968,4166659,4168200,+,rrsB,1541,rrsB-gltT-rrlB-rrfB 
b3969,4168372,4168447,+,gltT,75,rrsB-gltT-rrlB-rrfB 
b3970,4168641,4171544,+,rrlB,2903,rrsB-gltT-rrlB-rrfB 
b3971,4171637,4171756,+,rrfB,119,rrsB-gltT-rrlB-rrfB 
b3972,4172057,4173085,+,murB,1028,murB-birA
b3973,4173082,4174047,+,birA,965,murB-birA
b3974,4174076,4175026,-,coaA,950,coaA
b3975,4175213,4175368,-,b3975,155,
b3976,4175388,4175463,+,thrU,75,thrU-tyrU-glyT-thrT-tufB
b3977,4175472,4175556,+,tyrU,84,thrU-tyrU-glyT-thrT-tufB
b3978,4175673,4175747,+,glyT,74,thrU-tyrU-glyT-thrT-tufB
b3979,4175754,4175829,+,thrT,75,thrU-tyrU-glyT-thrT-tufB
b3980,4175944,4177128,+,tufB,1184,thrU-tyrU-glyT-thrT-tufB
b3981,4177358,4177741,+,secE,383,secE-nusG
b3982,4177743,4178288,+,nusG,545,secE-nusG
b3983,4178447,4178875,+,rplK,428,rplKAJL-rpoBC
b3984,4178879,4179583,+,rplA,704,rplKAJL-rpoBC
b3985,4179996,4180493,+,rplJ,497,rplKAJL-rpoBC 
b3986,4180560,4180925,+,rplL,365,rplL 
b3987,4181245,4185273,+,rpoB,4028,rplKAJL-rpoBC 
b3988,4185350,4189573,+,rpoC,4223,rplKAJL-rpoBC 
b3989,4189786,4190325,+,yjaZ,539,yjaZ
b3990,4190735,4191868,-,thiH,1133,thiCEFSGH
b3991,4191865,4192635,-,thiG,770,thiCEFSGH
b3992,4192821,4193576,-,thiF,755,thiCEFSGH
b3993,4193569,4194204,-,thiE,635,thiCEFSGH
b3994,4194204,4196099,-,thiC,1895,thiCEFSGH
b3995,4196332,4196808,-,rsd,476,rsd 
b3996,4196903,4197676,+,nudC,773,nudC-hemE-nfi
b3997,4197716,4198780,+,hemE,1064,nudC-hemE-nfi
b3998,4198790,4199461,+,nfi,671,nudC-hemE-nfi
b3999,4199504,4200094,+,yjaG,590,yjaG
b4000,4200281,4200553,+,hupA,272,hupA
b4001,4200566,4201261,+,yjaH,695,yjaH
b4002,4201263,4201688,-,zraP,425,zraP
b4003,4201926,4203323,+,zraS,1397,zraSR
b4004,4203320,4204645,+,zraR,1325,zraSR
b4005,4204642,4205931,-,purD,1289,purHD
b4006,4205943,4207532,-,purH,1589,purHD
b4007,4208147,4209688,+,rrsE,1541,rrsE-gltV-rrlE-rrfE 
b4008,4209774,4209849,+,gltV,75,rrsE-gltV-rrlE-rrfE 
b4009,4210043,4212946,+,rrlE,2903,rrsE-gltV-rrlE-rrfE 
b4010,4213040,4213159,+,rrfE,119,rrsE-gltV-rrlE-rrfE 
b4011,4213234,4213617,+,yjaA,383,yjaA
b4012,4213680,4214123,-,yjaB,443,yjaB
b4013,4214280,4215209,+,metA,929,metA 
b4014,4215478,4217079,+,aceB,1601,aceBAK
b4015,4217109,4218413,+,aceA,1304,aceBAK
b4016,4218596,4220332,+,aceK,1736,aceK 
b4017,4220301,4222487,-,arpA,2186,arpA
b4018,4222804,4223628,-,iclR,824,iclR
b4019,4223828,4227511,+,metH,3683,metH 
b4020,4227731,4229362,+,yjbB,1631,yjbB
b4021,4229453,4230142,-,pepE,689,pepE
b4022,4230354,4231226,+,rluF,872,rluF
b4023,4231359,4231631,-,yjbD,272,yjbD
b4024,4231884,4233233,-,lysC,1349,lysC 
b4025,4233758,4235407,+,pgi,1649,pgi 
b4026,4235906,4236148,+,yjbE,242,yjbEFGH 
b4027,4236262,4236900,+,yjbF,638,yjbEFGH 
b4028,4236897,4237634,+,yjbG,737,yjbEFGH 
b4029,4237634,4239730,+,yjbH,2096,yjbEFGH 
b4030,4240325,4240735,+,psiE,410,psiE
b4031,4240779,4242254,-,xylE,1475,xylE
b4032,4242626,4243516,-,malG,890,malEFGH
b4033,4243531,4245075,-,malF,1544,malEFGH
b4034,4245229,4246419,-,malE,1190,malEFGH
b4035,4246784,4247899,+,malK,1115,malK-lamB-malM
b4036,4247971,4249311,+,lamB,1340,malK-lamB-malM
b4037,4249554,4250474,+,malM,920,malK-lamB-malM
b4038,4250703,4252283,+,yjbI,1580,yjbI
b4039,4252506,4253003,+,ubiC,497,ubiCA
b4040,4253016,4253888,+,ubiA,872,ubiCA
b4041,4254043,4256466,-,plsB,2423,plsB 
b4042,4256637,4257005,+,dgkA,368,dgkA 
b4043,4257115,4257723,+,lexA,608,lexA-dinF
b4044,4257742,4259121,+,dinF,1379,lexA-dinF
b4045,4259237,4259446,+,yjbJ,209,yjbJ
b4046,4259488,4260003,-,zur,515,zur
b4047,4260321,4260575,+,yjbL,254,yjbLM
b4048,4260599,4261306,+,yjbM,707,yjbLM
b4049,4261669,4262706,+,dusA,1037,dusA
b4050,4262840,4263082,+,pspG,242,pspG
b4051,4263248,4264231,-,qorA,983,qorA
b4052,4264314,4265729,+,dnaB,1415,dnaB
b4053,4265782,4266861,+,alr,1079,alr 
b4054,4267114,4268307,+,tyrB,1193,tyrB
b4055,4269414,4270127,+,aphA,713,aphA
b4056,4270238,4270654,+,yjbQ,416,yjbQR
b4057,4270658,4271014,+,yjbR,356,yjbQR
b4058,4271049,4273871,-,uvrA,2822,uvrA
b4059,4274125,4274661,+,ssb,536,ssb 
b4060,4274760,4275041,-,yjcB,281,yjcB
b4061,4275471,4277057,+,pdeC,1586,yjcC
b4062,4277060,4277383,-,soxS,323,soxS
b4063,4277469,4277933,+,soxR,464,soxR
b4064,4278479,4279828,+,ghxP,1349,ghxP
b4065,4279980,4281629,+,yjcE,1649,yjcE
b4066,4281783,4283075,-,yjcF,1292,yjcF
b4067,4283253,4284902,-,actP,1649,acs-yjcHG 
b4068,4284899,4285213,-,yjcH,314,acs-yjcHG 
b4069,4285413,4287371,-,acs,1958,acs-yjcHG 
b4070,4287764,4289200,+,nrfA,1436,nrfABCDEFG
b4071,4289245,4289811,+,nrfB,566,nrfABCDEFG
b4072,4289808,4290479,+,nrfC,671,nrfABCDEFG
b4073,4290476,4291432,+,nrfD,956,nrfABCDEFG
b4074,4291512,4293170,+,nrfE,1658,nrfABCDEFG
b4075,4293163,4293546,+,nrfF,383,nrfABCDEFG
b4076,4293543,4294139,+,nrfG,596,nrfABCDEFG
b4077,4294481,4295794,+,gltP,1313,gltP
b4078,4296436,4297125,-,yjcO,689,yjcO
b4079,4297219,4299366,-,fdhF,2147,fdhF
b4080,4299564,4301030,-,mdtP,1466,mdtNOP
b4081,4301027,4303078,-,mdtO,2051,mdtNOP
b4082,4303078,4304109,-,mdtN,1031,mdtNOP
b4083,4304612,4306597,-,yjcS,1985,yjcS
b4084,4306870,4307799,-,alsK,929,alsK
b4085,4307783,4308478,-,alsE,695,alsBACE 
b4086,4308489,4309469,-,alsC,980,alsBACE 
b4087,4309448,4310980,-,alsA,1532,alsBACE 
b4088,4311107,4312042,-,alsB,935,alsBACE 
b4089,4312101,4312991,-,alsR,890,alsRBACE 
b4090,4313350,4313799,+,rpiB,449,rpiB
b4092,4314344,4315102,-,phnP,758,phnLMNOP 
b4093,4315104,4315538,-,phnO,434,phnLMNOP 
b4094,4315525,4316082,-,phnN,557,phnLMNOP 
b4095,4316082,4317218,-,phnM,1136,phnLMNOP 
b4096,4317215,4317895,-,phnL,680,phnLMNOP 
b4097,4318006,4318764,-,phnK,758,phnCDEEFGHIJKLMNOP
b4098,4318761,4319606,-,phnJ,845,phnCDEEFGHIJKLMNOP
b4099,4319599,4320663,-,phnI,1064,phnCDEEFGHIJKLMNOP
b4100,4320663,4321247,-,phnH,584,phnCDEEFGHIJKLMNOP
b4101,4321244,4321696,-,phnG,452,phnCDEEFGHIJKLMNOP
b4102,4321697,4322422,-,phnF,725,phnCDEEFGHIJKLMNOP
b4105,4323336,4324352,-,phnD,1016,phnCDEEFGHIJKLMNOP
b4106,4324377,4325165,-,phnC,788,phnCDEEFGHIJKLMNOP
b4107,4325298,4325741,-,yjdN,443,yjdN
b4108,4326399,4326734,-,yjdM,335,yjdM
b4109,4327135,4329363,+,rdcA,2228,rdcAB 
b4110,4329360,4330238,+,rdcB,878,rdcAB 
b4111,4330502,4332004,+,proP,1502,proP 
b4112,4332181,4333272,-,basS,1091,basRS
b4113,4333282,4333950,-,basR,668,basRS
b4114,4333947,4335590,-,eptA,1643,eptA
b4115,4335694,4337031,-,adiC,1337,adiC
b4116,4337168,4337929,-,adiY,761,adiY
b4117,4338254,4340521,-,adiA,2267,adiA
b4118,4340720,4341628,-,melR,908,melR
b4119,4341911,4343266,+,melA,1355,melAB
b4120,4343369,4344790,+,melB,1421,melAB
b4121,4344929,4345558,-,yjdF,629,yjdF
b4122,4345680,4347326,-,fumB,1646,dcuB-fumB 
b4123,4347404,4348744,-,dcuB,1340,dcuB-fumB 
b4124,4349315,4350034,-,dcuR,719,dcuR 
b4125,4350031,4351662,-,dcuS,1631,dcuSR
b4126,4351843,4352073,+,yjdI,230,yjdIJ
b4127,4352085,4352357,+,yjdJ,272,yjdIJ
b4128,4352584,4352880,+,ghoS,296,ghoST
b4129,4353200,4354717,-,lysU,1517,lysU 
b4130,4354954,4356411,-,dtpC,1457,dtpC
b4131,4356470,4358617,-,cadA,2147,cadA 
b4132,4358697,4360031,-,cadB,1334,cadBA
b4133,4360396,4361934,-,cadC,1538,cadC
b4134,4362551,4362626,-,pheU,75,pheU
b4135,4362733,4363308,-,yjdC,575,yjdC 
b4136,4363345,4365042,-,dsbD,1697,dsbD-yjdC
b4137,4365018,4365356,-,cutA,338,cutA
b4138,4365472,4366773,-,dcuA,1301,dcuA 
b4139,4366891,4368327,-,aspA,1436,aspA-dcuA 
b4140,4368664,4369140,+,fxsA,476,fxsA
b4141,4369156,4370412,-,yjeH,1256,yjeH
b4142,4370688,4370981,+,groS,293,groSL 
b4143,4371025,4372671,+,groL,1646,groSL 
