,start,stop,strand,gene_name,length,,gene_product,evidence,PMID_list,confidence,all_bnumber,regulonDB_geneID
b3981,4177358,4177741,+,secE,383,,Sec translocon subunit SecE,,"10413486,12138117,18296516,2111734,2201574,7889938,8083155,8146153,8526914,8702704,8827448,",,b3981,ECK120000928
b3982,4177743,4178288,+,nusG,545,,transcription termination factor NusG,[IMP|W|Inferred from mutant phenotype],"10383769,1547498,",Weak,b3982,ECK120000660
b3983,4178447,4178875,+,rplK,428,,50S ribosomal subunit protein L11,,"16682558,20237646,21394717,25126896,4211382,4604976,4616944,",,b3983,ECK120000863
b3984,4178879,4179583,+,rplA,704,,50S ribosomal subunit protein L1,,,,b3984,ECK120000855
b3985,4179996,4180493,+,rplJ,497,,50S ribosomal subunit protein L10,,,,b3985,ECK120000862
b3986,4180560,4180925,+,rplL,365,,50S ribosomal subunit protein L12,,"28968100,",,b3986,ECK120000864
b3987,4181245,4185273,+,rpoB,4028,,RNA polymerase subunit &beta;,,,,b3987,ECK120000885
b3988,4185350,4189573,+,rpoC,4223,,RNA polymerase subunit &beta;',,,,b3988,ECK120000886
b3989,4189786,4190325,+,yjaZ,539,,protein YjaZ,,,,b3989,ECK120001393
b4691,4190327,4190487,-,sroH,160,,small RNA SroH,,,,b4691,ECK120002647
b3990,4190735,4191868,-,thiH,1133,,2-iminoacetate synthase,,"10082377,4562671,",,b3990,ECK120001539
b3991,4191865,4192635,-,thiG,770,,1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase,,"17969213,19923213,",,b3991,ECK120001538
b4407,4192637,4192837,-,thiS,200,,sulfur carrier protein ThiS,[IDA|S|Inferred from direct assay],"10781607,14757766,14983069,23638106,25721662,31442507,9632726,",Strong,b4407,ECK120002671
b3992,4192821,4193576,-,thiF,755,,sulfur carrier protein ThiS adenylyltransferase,,,,b3992,ECK120001537
b3993,4193569,4194204,-,thiE,635,,thiamine phosphate synthase,,"20406421,",,b3993,ECK120001536
b3994,4194204,4196099,-,thiC,1895,,phosphomethylpyrimidine synthase,,,,b3994,ECK120001535
b3995,4196332,4196808,-,rsd,476,,regulator of sigma D,"[IGI|W|Inferred from genetic interaction],[APPH|S|Assay of protein purified  to homogeneity]","10947847,12023304,21573101,29288053,29915072,9560209,",Strong,b3995,ECK120001677
b3996,4196903,4197676,+,nudC,773,,RNA decapping hydrolase,,,,b3996,ECK120001645
b3997,4197716,4198780,+,hemE,1064,,uroporphyrinogen decarboxylase,,"387909,7849561,",,b3997,ECK120001497
b3998,4198790,4199461,+,nfi,671,,endonuclease V,,"12730170,16952947,19043748,26244280,31444105,32109061,8990280,",,b3998,ECK120001843
b3999,4199504,4200094,+,yjaG,590,,DUF416 domain-containing protein YjaG,,,,b3999,ECK120001844
b4000,4200281,4200553,+,hupA,272,,DNA-binding protein HU-&alpha;,,,,b4000,ECK120000459
b4001,4200566,4201261,+,yjaH,695,,DUF1481 domain-containing protein YjaH,,,,b4001,ECK120001845
b4002,4201263,4201688,-,zraP,425,,signaling pathway modulator ZraP,,,,b4002,ECK120001846
b4003,4201926,4203323,+,zraS,1397,,sensor histidine kinase ZraS,,"12366850,",,b4003,ECK120000007
b4004,4203320,4204645,+,zraR,1325,,DNA-binding transcriptional activator ZraR,"[GEA|W|Gene expression analysis],[IFC|S|Inferred by functional complementation],[HIFS|W|Human inference of function from sequence]","11243806,1482126,2157156,7699720,8098993,",Strong,b4004,ECK120000475
b4005,4204642,4205931,-,purD,1289,,phosphoribosylamine&mdash;glycine ligase,,"2045358,2192230,2687276,",,b4005,ECK120000783
b4006,4205943,4207532,-,purH,1589,,bifunctional AICAR transformylase/IMP cyclohydrolase,,"2045358,",,b4006,ECK120000786
b4007,4208147,4209688,+,rrsE,1541,,16S ribosomal RNA,,"10753935,10844684,10919826,1094419,1101264,1102922,1103124,110460,11751827,12087167,12498,12902289,12903214,14510386,1646122,1716101,1718749,1764510,1764516,2145040,2168847,2222527,2387410,2435709,2443830,2448485,2473375,2685545,2689447,2833391,3013618,3071662,3071664,319193,320561,326259,327272,327273,3277949,331075,331313,3313279,3329282,342117,344139,348233,365689,378405,383432,384145,3894326,390405,392468,407931,4560773,4564202,4918356,4942898,4943519,6285294,6330033,6361011,6752954,6995826,7516168,7601845,769922,7718670,782716,782717,789334,793615,8041615,8312257,8377198,8419334,8515441,9034358,9226253,9501232,9769102,",,b4007,ECK120002530
b4008,4209774,4209849,+,gltV,75,,tRNA-Glu(UUC),[TAS|W|Traceable author statement],"7033244,",Weak,b4008,ECK120002476
b4009,4210043,4212946,+,rrlE,2903,,23S ribosomal RNA,[TASES|W|Traceable author statement to experimental support],"10051579,10464195,10525403,10793686,10844684,1094419,10964562,10986461,1098691,1101264,1102922,1103090,1103124,11157269,11350034,11517305,11574482,11675490,11680845,11741781,11751827,11888286,11955006,11991636,12022228,12034826,12467398,12498,12533472,12888505,1719209,1918155,1981803,2197598,2407189,2473375,3013618,3048270,3053641,3060850,3089782,319193,319197,3226909,325525,327272,327273,3277949,329865,331075,331313,3313279,3329282,342117,355851,359042,388189,3894326,390405,407931,4563865,4584388,4918356,4931952,4942898,4943519,6158039,6162473,6170632,6173374,6193815,6255418,6349628,6361011,6750359,6996708,7016337,7041903,7514294,7529560,7567991,7601845,7682175,775291,782716,782717,785385,789334,791272,8031879,805122,8253085,8515441,8524828,8643399,8643630,8654409,8710862,8834779,8918803,9016593,9034358,9135982,9367788,9396814,9501232,9573162,9586034,9620960,9769102,9836593,9989214,",Weak,b4009,ECK120002523
b4010,4213040,4213159,+,rrfE,119,,5S ribosomal RNA,[TASES|W|Traceable author statement to experimental support],"11401702,11488615,164889,1709493,1709723,1718749,1764510,2190187,2412207,2493632,3013618,3089782,324975,327272,331075,3315008,342117,359042,4198187,4216514,4550693,4571522,4591367,4609878,4621557,4881049,4881332,4906324,4906608,4918254,4920877,4924729,4931952,4944480,4993318,6178431,6188537,6255417,6390428,6765232,7024913,782717,805122,810137,95791,9862991,9878392,",Weak,b4010,ECK120002516
b4011,4213234,4213617,+,yjaA,383,,stress response protein,[IMP|W|Inferred from mutant phenotype],"19919618,",Weak,b4011,ECK120001186
b4012,4213680,4214123,-,yjaB,443,,peptidyl-lysine -acetyltransferase YjaB,,"9311119,",,b4012,ECK120001187
b4013,4214280,4215209,+,metA,929,,homoserine -succinyltransferase,,,,b4013,ECK120000574
b4014,4215478,4217079,+,aceB,1601,,malate synthase A,,"3050899,3060852,",,b4014,ECK120000020
b4015,4217109,4218413,+,aceA,1304,,isocitrate lyase,,"3049537,3290857,",,b4015,ECK120000019
b4016,4218596,4220332,+,aceK,1736,,isocitrate dehydrogenase kinase/phosphatase,,,,b4016,ECK120000023
b4017,4220301,4222487,-,arpA,2186,,regulator of acetyl CoA synthetase,,,,b4017,ECK120001188
b4018,4222804,4223628,-,iclR,824,,DNA-binding transcriptional repressor IclR,"[IPI|W|Inferred from physical interaction],[IFC|S|Inferred by functional complementation],[APPH|S|Assay of protein purified  to homogeneity],[HIFS|W|Human inference of function from sequence]","12492863,1447784,1995429,1995431,2001680,2185227,8265357,8550439,",Strong,b4018,ECK120000484
b4019,4223828,4227511,+,metH,3683,,cobalamin-dependent methionine synthase,,"13051887,2025237,21539330,2185137,23764826,26223547,5337044,8501076,",,b4019,ECK120000580
b4020,4227731,4229362,+,yjbB,1631,,putative inorganic phosphate export protein YjbB,,"31438868,",,b4020,ECK120001847
b4021,4229453,4230142,-,pepE,689,,peptidase E,,,,b4021,ECK120001848
b4022,4230354,4231226,+,rluF,872,,23S rRNA pseudouridine synthase,,"27551044,8871555,",,b4022,ECK120001849
b4023,4231359,4231631,-,yjbD,272,,DUF3811 domain-containing protein YjbD,,,,b4023,ECK120001850
b4024,4231884,4233233,-,lysC,1349,,aspartate kinase III,,,,b4024,ECK120000543
b4025,4233758,4235407,+,pgi,1649,,glucose-6-phosphate isomerase,,,,b4025,ECK120000694
b4026,4235906,4236148,+,yjbE,242,,uncharacterized protein YjbE,"[IMP|W|Inferred from mutant phenotype],[IEP|W|Inferred from expression pattern]","16385049,17379715,24391520,",Weak,b4026,ECK120001851
b4027,4236262,4236900,+,yjbF,638,,lipoprotein YjbF,[IMP|W|Inferred from mutant phenotype],"17379715,",Weak,b4027,ECK120001852
b4028,4236897,4237634,+,yjbG,737,,capsule biosynthesis GfcC family protein YjbG,[IMP|W|Inferred from mutant phenotype],"17379715,",Weak,b4028,ECK120001853
b4029,4237634,4239730,+,yjbH,2096,,YjbH family protein,"[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype]","12192075,17379715,",Weak,b4029,ECK120001854
b4620,4239777,4240055,-,yjbT,278,,PF17089 family protein YjbT,,,,b4620,ECK120030089
b4030,4240325,4240735,+,psiE,410,,putative phosphate starvation-inducible protein PsiE,,"11574054,17456747,2160940,",,b4030,ECK120001189
b4031,4240779,4242254,-,xylE,1475,,D-xylose:H symporter,,"3543693,",,b4031,ECK120001065
b4032,4242626,4243516,-,malG,890,,maltose ABC transporter membrane subunit MalG,,"8419303,9573205,",,b4032,ECK120000549
b4033,4243531,4245075,-,malF,1544,,maltose ABC transporter membrane subunit MalF,,"11114938,1885584,1915262,2170984,3294421,3317413,8636026,",,b4033,ECK120000548
b4034,4245229,4246419,-,malE,1190,,maltose ABC transporter periplasmic binding protein,,"1406246,15097997,15117946,16288781,16511487,17060917,17960247,18385983,19630440,21533070,22529943,22933379,24124463,24191053,29295923,3049536,3050132,3524683,3894331,393831,8399200,8411172,8663400,9106209,9211908,9211909,9211910,9765817,",,b4034,ECK120000547
b4035,4246784,4247899,+,malK,1115,,maltose ABC transporter ATP binding subunit,,"10037713,11150310,15733913,19274733,26666844,29767997,6296778,7665528,",,b4035,ECK120000551
b4036,4247971,4249311,+,lamB,1340,,maltose outer membrane channel / phage lambda receptor protein,,"29518576,",,b4036,ECK120000521
b4037,4249554,4250474,+,malM,920,,maltose regulon periplasmic protein,,,,b4037,ECK120000552
b4038,4250703,4252283,+,yjbI,1580,,pentapeptide repeats-containing protein YjbI,,,,b4038,ECK120001855
b4039,4252506,4253003,+,ubiC,497,,chorismate lyase,,"11745165,1512213,1644758,25681964,31767748,8366060,",,b4039,ECK120001337
b4040,4253016,4253888,+,ubiA,872,,4-hydroxybenzoate octaprenyltransferase,,,,b4040,ECK120001338
b4041,4254043,4256466,-,plsB,2423,,glycerol-3-phosphate 1--acyltransferase,,"6309817,",,b4041,ECK120000731
b4042,4256637,4257005,+,dgkA,368,,diacylglycerol kinase,,,,b4042,ECK120000218
b4043,4257115,4257723,+,lexA,608,,DNA-binding transcriptional repressor LexA,,"2780544,6261224,6272195,7013987,7027255,7027256,8076591,8265357,",,b4043,ECK120000526
b4044,4257742,4259121,+,dinF,1379,,DNA damage-inducible protein F,,,,b4044,ECK120001447
b4045,4259237,4259446,+,yjbJ,209,,putative stress response protein YjbJ,,"29280215,",,b4045,ECK120001856
b4046,4259488,4260003,-,zur,515,,DNA-binding transcriptional repressor Zur,,"11523983,11831459,11931550,12904577,",,b4046,ECK120001857
b4047,4260321,4260575,+,yjbL,254,,uncharacterized protein YjbL,,,,b4047,ECK120001858
b4048,4260599,4261306,+,yjbM,707,,DUF2713 domain-containing protein YjbM,,,,b4048,ECK120001859
b4049,4261669,4262706,+,dusA,1037,,tRNA-dihydrouridine synthase A,,,,b4049,ECK120001860
b4050,4262840,4263082,+,pspG,242,,phage shock protein G,,,,b4050,ECK120001861
b4758,4263139,4263249,+,pspH,110,,small regulatory RNA PspH,[IMP|W|Inferred from mutant phenotype],"25266388,27588604,",Weak,b4758,ECK125256957
b4051,4263248,4264231,-,qorA,983,,putative quinone oxidoreductase 1,,"24482123,",,b4051,ECK120001448
b4052,4264314,4265729,+,dnaB,1415,,replicative DNA helicase,,,,b4052,ECK120000230
b4053,4265782,4266861,+,alr,1079,,alanine racemase 1,,,,b4053,ECK120000001
b4054,4267114,4268307,+,tyrB,1193,,tyrosine aminotransferase,,"323238,3521591,3907634,",,b4054,ECK120001029
b4621,4268809,4269012,-,yjbS,203,,uncharacterized protein YjbS,,,,b4621,ECK120030090
b4055,4269414,4270127,+,aphA,713,,acid phosphatase / phosphotransferase,,,,b4055,ECK120001862
b4056,4270238,4270654,+,yjbQ,416,,UPF0047 protein YjbQ,,,,b4056,ECK120001863
b4057,4270658,4271014,+,yjbR,356,,PF04237 family protein YjbR,,,,b4057,ECK120001864
b4058,4271049,4273871,-,uvrA,2822,,excision nuclease subunit A,,"30617079,",,b4058,ECK120001050
b4059,4274125,4274661,+,ssb,536,,ssDNA-binding protein,,,,b4059,ECK120000965
b4060,4274760,4275041,-,yjcB,281,,uncharacterized protein YjcB,,,,b4060,ECK120001865
b4061,4275471,4277057,+,pdeC,1586,,c-di-GMP phosphodiesterase PdeC,,"29018125,",,b4061,ECK120001866
b4062,4277060,4277383,-,soxS,323,,DNA-binding transcriptional dual regulator SoxS,[IE|W|Inferred from experiment],"1653416,1708380,7891555,7896696,8034583,8226698,8265357,",Weak,b4062,ECK120000947
b4063,4277469,4277933,+,soxR,464,,DNA-binding transcriptional dual regulator SoxR,[APPHINH|S|Assay of protein purified to homogeneity from its native host],"11470373,1400156,1653416,1708380,7673113,",Strong,b4063,ECK120000946
b4459,4277926,4278066,-,ryjA,140,,small RNA RyjA,,"11448770,",,b4459,ECK120002587
b4064,4278479,4279828,+,ghxP,1349,,guanine/hypoxanthine transporter GhxP,,,,b4064,ECK120001867
b4065,4279980,4281629,+,yjcE,1649,,putative transporter YjcE,,"31438868,",,b4065,ECK120001868
b4066,4281783,4283075,-,yjcF,1292,,pentapeptide repeat-containing protein YjcF,,,,b4066,ECK120001869
b4067,4283253,4284902,-,actP,1649,,acetate/glycolate:cation symporter,,"14563880,",,b4067,ECK120001870
b4068,4284899,4285213,-,yjcH,314,,DUF485 domain-containing inner membrane protein YjcH,,,,b4068,ECK120001871
b4069,4285413,4287371,-,acs,1958,,acetyl-CoA synthetase (AMP-forming),,"14595781,16496143,17273855,18175070,19852855,19861135,19884769,20707605,20707865,22059728,22513097,24238347,24633370,24917678,25518064,25524697,27804304,",,b4069,ECK120001411
b4070,4287764,4289200,+,nrfA,1436,,cytochrome  nitrite reductase,,"11004182,18245085,18311941,18433623,22092912,334173,378660,8057835,9325429,",,b4070,ECK120001715
b4071,4289245,4289811,+,nrfB,566,,periplasmic nitrite reductase penta-heme -type cytochrome,,,,b4071,ECK120001872
b4072,4289808,4290479,+,nrfC,671,,putative menaquinol-cytochrome  reductase 4Fe-4S subunit,,,,b4072,ECK120001873
b4073,4290476,4291432,+,nrfD,956,,putative menaquinol-cytochrome  reductase subunit NrfD,,,,b4073,ECK120001874
b4074,4291512,4293170,+,nrfE,1658,,putative cytochrome c-type biogenesis protein NrfE,[IMP|W|Inferred from mutant phenotype],"9593308,",Weak,b4074,ECK120001875
b4075,4293163,4293546,+,nrfF,383,,putative formate-dependent nitrite reductase complex subunit NrfF,[IMP|W|Inferred from mutant phenotype],"9593308,",Weak,b4075,ECK120001876
b4076,4293543,4294139,+,nrfG,596,,putative formate-dependent nitrite reductase complex subunit NrfG,[IMP|W|Inferred from mutant phenotype],"9593308,",Weak,b4076,ECK120001877
b4077,4294481,4295794,+,gltP,1313,,glutamate/aspartate : H symporter GltP,,"1551855,1971622,",,b4077,ECK120000398
b4078,4296436,4297125,-,yjcO,689,,Sel1 repeat-containing protein YjcO,,,,b4078,ECK120001878
b4079,4297219,4299366,-,fdhF,2147,,formate dehydrogenase H,,"22194618,",,b4079,ECK120000279
b4080,4299564,4301030,-,mdtP,1466,,putative multidrug efflux pump outer membrane channel,,,,b4080,ECK120001879
b4081,4301027,4303078,-,mdtO,2051,,putative multidrug efflux pump subunit MdtO,,"31438868,",,b4081,ECK120001880
b4082,4303078,4304109,-,mdtN,1031,,putative multidrug efflux pump membrane fusion protein,,"22344666,31438868,",,b4082,ECK120001881
b4622,4304128,4304403,-,ytcA,275,,putative lipoprotein YtcA,,,,b4622,ECK120030091
b4083,4304612,4306597,-,yjcS,1985,,linear primary-alkylsulfatase,,"25066955,",,b4083,ECK120001882
b4084,4306870,4307799,-,alsK,929,,D-allose kinase,,,,b4084,ECK120001883
b4085,4307783,4308478,-,alsE,695,,D-allulose-6-phosphate 3-epimerase,,,,b4085,ECK120001884
b4086,4308489,4309469,-,alsC,980,,D-allose ABC transporter membrane subunit,,,,b4086,ECK120001885
b4087,4309448,4310980,-,alsA,1532,,D-allose ABC transporter ATP binding subunit,,,,b4087,ECK120001886
b4088,4311107,4312042,-,alsB,935,,D-allose ABC transporter periplasmic binding protein,,"20711759,",,b4088,ECK120002305
b4089,4312101,4312991,-,alsR,890,,DNA-binding transcriptional repressor AlsR,"[GEA|W|Gene expression analysis],[AIFS|W|Automated inference of function from sequence]","8576032,9401019,",Weak,b4089,ECK120004319
b4090,4313350,4313799,+,rpiB,449,,allose-6-phosphate isomerase / ribose-5-phosphate isomerase B,,"10559180,",,b4090,ECK120001759
b4487,4313868,4314197,+,yjdP,329,,protein YjdP,,,,b4487,ECK120002649
b4092,4314344,4315102,-,phnP,758,,"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",,,,b4092,ECK120000717
b4093,4315104,4315538,-,phnO,434,,aminoalkylphosphonate -acetyltransferase,,,,b4093,ECK120000716
b4094,4315525,4316082,-,phnN,557,,"ribose 1,5-bisphosphate phosphokinase",,"21341651,",,b4094,ECK120000715
b4095,4316082,4317218,-,phnM,1136,,RPnTP hydrolase,[IMP|W|Inferred from mutant phenotype],"8388873,",Weak,b4095,ECK120000714
b4096,4317215,4317895,-,phnL,680,,methylphosphonate degradation complex subunit PhnL,[IMP|W|Inferred from mutant phenotype],"8388873,",Weak,b4096,ECK120000713
b4097,4318006,4318764,-,phnK,758,,carbon-phosphorus lyase subunit PhnK,"[IGI|W|Inferred from genetic interaction],[IMP|W|Inferred from mutant phenotype],[IEP|W|Inferred from expression pattern]","1846145,8388873,9650256,",Weak,b4097,ECK120000712
b4098,4318761,4319606,-,phnJ,845,,carbon-phosphorus lyase core complex subunit PhnJ,,,,b4098,ECK120000711
b4099,4319599,4320663,-,phnI,1064,,carbon-phosphorus lyase core complex subunit PhnI,[IMP|W|Inferred from mutant phenotype],"8388873,",Weak,b4099,ECK120000710
b4100,4320663,4321247,-,phnH,584,,carbon-phosphorus lyase core complex subunit PhnH,,,,b4100,ECK120000709
b4101,4321244,4321696,-,phnG,452,,carbon-phosphorus lyase core complex subunit PhnG,,,,b4101,ECK120000708
b4102,4321697,4322422,-,phnF,725,,putative transcriptional regulator PhnF,[AIFS|W|Automated inference of function from sequence],"11756427,12757941,16672238,",Weak,b4102,ECK120000707
b4583,4322443,4323281,-,phnE,838,,phosphonate/phosphate ABC transporter membrane subunit,,,,"b4103,b4104,b4583",ECK120001256
b4105,4323336,4324352,-,phnD,1016,,phosphonate/phosphate ABC transporter periplasmic binding protein,,"22019591,",,b4105,ECK120000706
b4106,4324377,4325165,-,phnC,788,,phosphonate/phosphate ABC transporter ATP binding subunit,,,,b4106,ECK120000705
b4107,4325298,4325741,-,yjdN,443,,PF06983 family protein YjdN,,,,b4107,ECK120000704
,4325805,4325881,-,naRNA6,76,,naRNA6,,"26307168,",,,ECK125256963
,4325905,4325981,-,naRNA5,76,,naRNA5,,"26307168,",,,ECK125256972
,4326005,4326081,-,naRNA4,76,,naRNA4,[IMP|W|Inferred from mutant phenotype],"26307168,",Weak,,ECK125256968
,4326105,4326181,-,naRNA3,76,,naRNA3,,"26307168,",,,ECK125256964
,4326205,4326281,-,naRNA2,76,,naRNA2,,"26307168,",,,ECK125256959
,4326305,4326381,-,naRNA1,76,,naRNA1,,"26307168,",,,ECK125256969
b4108,4326399,4326734,-,yjdM,335,,zinc ribbon domain-containing protein YjdM,,,,b4108,ECK120000703
b4109,4327135,4329363,+,rdcA,2228,,regulator of diguanylate cyclase RdcA,,,,b4109,ECK120001190
b4110,4329360,4330238,+,rdcB,878,,regulator of diguanylate cyclase RdcB,[IMP|W|Inferred from mutant phenotype],"31022167,",Weak,b4110,ECK120004321
b4111,4330502,4332004,+,proP,1502,,osmolyte:H symporter ProP,,"11157932,11401581,11866514,11866515,12525168,14529293,14690427,15126461,15205426,19366597,20828170,22740696,2275537,26871755,28351917,28911185,2949137,3060036,7006756,7654759,",,b4111,ECK120001560
b4703,4332116,4332205,+,pmrR,89,,putative bitopic inner membrane protein,,,,b4703,ECK125135313
b4112,4332181,4333272,-,basS,1091,,sensor histidine kinase BasS,,,,b4112,ECK120001562
b4113,4333282,4333950,-,basR,668,,DNA-binding transcriptional dual regulator BasR,"[IDA|S|Inferred from direct assay],[AIFS|W|Automated inference of function from sequence]","10373459,11222580,1482126,15522865,15556475,15569938,15659161,17686460,2157156,7565089,7699720,8098993,",Strong,b4113,ECK120001563
b4114,4333947,4335590,-,eptA,1643,,phosphoethanolamine transferase EptA,,"17362200,23372159,",,b4114,ECK120001561
b4115,4335694,4337031,-,adiC,1337,,arginine:agmatine antiporter,,"12867448,14594828,",,b4115,ECK120002306
b4116,4337168,4337929,-,adiY,761,,DNA-binding transcriptional activator AdiY,"[GEA|W|Gene expression analysis],[HIFS|W|Human inference of function from sequence]","8704970,",Weak,b4116,ECK120001892
b4117,4338254,4340521,-,adiA,2267,,"arginine decarboxylase, degradative",,,,b4117,ECK120001457
b4118,4340720,4341628,-,melR,908,,DNA-binding transcriptional dual regulator MelR,,"1445207,2684786,2830169,8010957,",,b4118,ECK120001208
b4119,4341911,4343266,+,melA,1355,,&alpha;-galactosidase,,"3031590,",,b4119,ECK120000570
b4120,4343369,4344790,+,melB,1421,,melibiose:H symporter,,"11695924,12421811,15449950,15736960,16139519,16822867,18572928,1872836,19366604,19706416,21135207,3004296,7703254,7929169,8428997,8428998,",,b4120,ECK120000571
b4121,4344929,4345558,-,yjdF,629,,DUF2238 domain-containing inner membrane protein YjdF,,,,b4121,ECK120004322
b4122,4345680,4347326,-,fumB,1646,,fumarase B,,"1499335,16417494,2656658,5330664,",,b4122,ECK120000350
b4123,4347404,4348744,-,dcuB,1340,,anaerobic C4-dicarboxylate transporter DcuB,,"1512189,20860483,",,b4123,ECK120000005
b4124,4349315,4350034,-,dcuR,719,,DNA-binding transcriptional activator DcuR,"[GEA|W|Gene expression analysis],[IFC|S|Inferred by functional complementation]","9765574,",Strong,b4124,ECK120004323
b4125,4350031,4351662,-,dcuS,1631,,sensor histidine kinase DcuS,,,,b4125,ECK120004324
b4126,4351843,4352073,+,yjdI,230,,PF06902 family protein YjdI,,,,b4126,ECK120004325
b4127,4352085,4352357,+,yjdJ,272,,putative -acetyltransferase YjdJ,,,,b4127,ECK120004326
b4128,4352584,4352880,+,ghoS,296,,antitoxin of the GhoTS toxin-antitoxin system,[IDA|S|Inferred from direct assay],"22941047,",Strong,b4128,ECK120004327
b4559,4352908,4353081,+,ghoT,173,,toxin of the GhoTS toxin-antitoxin system,[IMP|W|Inferred from mutant phenotype],"22941047,",Weak,b4559,ECK120016324
b4129,4353200,4354717,-,lysU,1517,,lysine&mdash;tRNA ligase/ApA synthetase,,"16297624,170611,20406805,20571084,2183178,23121660,23208549,24736113,25918376,28516732,28641210,31004054,31178354,318645,320199,3280549,328487,3305502,4284804,4290754,4552089,4552090,5338216,6277395,6373723,6756470,7027957,779846,779847,786844,7896714,7932734,805427,807389,8152,",,b4129,ECK120000546
b4130,4354954,4356411,-,dtpC,1457,,dipeptide/tripeptide:H symporter DtpC,,"23110099,27916534,",,b4130,ECK120002307
b4131,4356470,4358617,-,cadA,2147,,lysine decarboxylase 1,,,,b4131,ECK120000127
b4132,4358697,4360031,-,cadB,1334,,lysine:cadaverine antiporter,,"14982633,16877381,",,b4132,ECK120000128
b4133,4360396,4361934,-,cadC,1538,,DNA-binding transcriptional activator CadC,[IMP|W|Inferred from mutant phenotype],"1370290,18086202,7830562,",Weak,b4133,ECK120000129
b4654,4362191,4362353,-,yjdQ,162,,,,,,b4654,ECK125240983
b4134,4362551,4362626,-,pheU,75,,tRNA-Phe(GAA),[TAS|W|Traceable author statement],"7033244,",Weak,b4134,ECK120002506
b4135,4362733,4363308,-,yjdC,575,,putative DNA-binding transcriptional regulator YjdC,,"19459971,",,b4135,ECK120002069
b4136,4363345,4365042,-,dsbD,1697,,thiol-disulfide exchange protein DsbD,,"10545108,11085993,11493705,11886218,12033924,12145197,12234918,12753926,15057279,16004871,16545842,16816179,17015672,17303162,17544440,18571669,19258316,21543317,21742866,22127524,24469455,7623667,7957865,",,b4136,ECK120002071
b4137,4365018,4365356,-,cutA,338,,copper binding protein CutA,,,,b4137,ECK120002070
b4138,4365472,4366773,-,dcuA,1301,,C4-dicarboxylate transporter DcuA,,"1512189,",,b4138,ECK120001203
b4139,4366891,4368327,-,aspA,1436,,aspartate ammonia-lyase,,"3541901,9852003,",,b4139,ECK120000091
b4140,4368664,4369140,+,fxsA,476,,protein FxsA,"[IE|W|Inferred from experiment],[IMP|W|Inferred from mutant phenotype]","10497016,10497017,",Weak,b4140,ECK120004328
b4141,4369156,4370412,-,yjeH,1256,,L-methionine/branched chain amino acid exporter,,,,b4141,ECK120004329
b4142,4370688,4370981,+,groS,293,,cochaperonin GroES,,"3017973,6460256,",,b4142,ECK120000593
b4143,4371025,4372671,+,groL,1646,,chaperonin GroEL,,"10752609,15299422,26124125,26604310,26604318,27718375,28156097,28710336,29735733,379350,4561971,7904652,7911323,8096194,8571125,8760501,",,b4143,ECK120000592
b4144,4372809,4373162,+,yjeI,353,,DUF4156 domain-containing lipoprotein YjeI,,,,b4144,ECK120004330
b4145,4373365,4374234,-,yjeJ,869,,protein YjeJ,,,,b4145,ECK120004331
b4146,4374629,4375657,-,epmB,1028,,"lysine 2,3-aminomutase",,,,b4146,ECK120004332
b4147,4375699,4376265,+,efp,566,,protein chain elongation factor EF-P,[APPH|S|Assay of protein purified  to homogeneity],"1956781,20823541,25364902,795670,",Strong,b4147,ECK120002004
b4410,4376317,4376442,+,ecnA,125,,"entericidin A lipoprotein, antidote to entericidin B",[AUPEINH|W|Assay of unpurified protein expressed in its native host],"15174130,19210615,9677290,",Weak,b4410,ECK120002571
b4411,4376553,4376699,+,ecnB,146,,bacteriolytic entericidin B lipoprotein,[AUPEINH|W|Assay of unpurified protein expressed in its native host],"15174130,19210615,9677290,9829938,",Weak,b4411,ECK120002651
b4148,4376875,4377192,+,gdx,317,,guanidinium exporter,,"8096175,",,b4148,ECK120001564
b4149,4377189,4377722,-,blc,533,,outer membrane lipoprotein Blc,,"11058749,12876315,15174130,",,b4149,ECK120004333
b4150,4377811,4378944,-,ampC,1133,,&beta;-lactamase,,"28183996,",,b4150,ECK120000036
b4151,4379007,4379366,-,frdD,359,,fumarate reductase membrane protein FrdD,,"8419359,",,b4151,ECK120000327
b4152,4379377,4379772,-,frdC,395,,fumarate reductase membrane protein FrdC,,"28621879,8419359,",,b4152,ECK120000326
b4153,4379783,4380517,-,frdB,734,,fumarate reductase iron-sulfur protein,,,,b4153,ECK120000325
b4154,4380510,4382318,-,frdA,1808,,fumarate reductase flavoprotein subunit,,,,b4154,ECK120000324
b4155,4382643,4383620,+,epmA,977,,EF-P-lysine lysyltransferase,,,,b4155,ECK120001191
b4156,4383839,4385341,+,yjeM,1502,,putative transporter YjeM,,"31438868,",,b4156,ECK120002308
b4157,4385393,4385707,+,yjeN,314,,uncharacterized protein YjeN,,,,b4157,ECK120004334
b4158,4385704,4386018,+,yjeO,314,,DUF2645 domain-containing inner membrane protein YjeO,,,,b4158,ECK120004335
b4159,4386047,4389370,-,mscM,3323,,miniconductance mechanosensitive channel MscM,,,,b4159,ECK120004336
